date,Hour,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name
1/4/2014,14,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,16,0.0,0.0,0.3,6.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,17,0.0,0.0,0.0,1.25,1.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,18,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,19,0.0,0.0,3.0,9.0,0.0,0.0,4.0,1.0,2014,1,Saturday
1/4/2014,20,0.0,0.0,0.0,0.6,3.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/4/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Saturday
1/5/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,8,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,9,0.0,0.0,1.0,5.2,2.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,10,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,11,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,2014,1,Sunday
1/5/2014,12,1.0,2.0,2.0,12.9,3.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,13,2.0,1.0,3.0,12.0,2.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/5/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Sunday
1/6/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,8,0.0,0.0,0.0,1.4,1.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,9,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2014,1,Monday
1/6/2014,10,0.0,0.0,1.0,0.3,0.0,0.0,3.0,0.0,2014,1,Monday
1/6/2014,11,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,12,1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2014,1,Monday
1/6/2014,13,1.0,0.0,0.0,8.0,1.0,2.0,0.0,1.0,2014,1,Monday
1/6/2014,14,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,15,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,16,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,17,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/6/2014,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Monday
1/7/2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
1/7/2014,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,Tuesday
